Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
abso4,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0,0,0.02,0:00.03,87,132.2,42,9160660,9162356,NONE,3,124,96,192,
abso4,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0,0.02,0.01,0:00.04,78,115.35,56,9160660,66540,blosc,3,124,96,192,
abso4,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0,0.44,0.04,0:00.50,97,114.49,512,9160660,44470,mafisc,3,124,96,192,
abso4,FLOAT,32,9142272,2285568,4,6,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0,0.01,0.01,0:00.03,81,114.87,47,9160660,60196,lz4,3,124,96,192,
aclcac,FLOAT,32,429686784,107421696,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,24.62,0.54,0:25.18,99,3015.23,25204,429707228,429708948,NONE,4,124,47,96,192
aclcac,FLOAT,32,429686784,107421696,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,25.53,0.33,0:25.90,99,3012.04,25928,429707228,71863897,blosc,4,124,47,96,192
aclcac,FLOAT,32,429686784,107421696,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,73.38,4.1,1:17.56,99,9131.98,77579,429707228,40232568,mafisc,4,124,47,96,192
aclcac,FLOAT,32,429686784,107421696,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,25.44,0.31,0:25.78,99,3003.31,25790,429707228,50134381,lz4,4,124,47,96,192
aclcov,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,0,0.03,0:00.03,89,115.2,47,9160606,9162356,NONE,3,124,96,192,
aclcov,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,1,0.07,0.02,0:00.11,91,113.17,125,9160606,5669216,blosc,3,124,96,192,
