Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
Iopt,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,40,40,0.01,0.07,0:00.09,95,121.02,105,55486042,55487804,NONE,4,31,31,82,88
Iopt,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,40,40,0.1,0.05,0:00.27,57,116.53,281,55486042,5821960,blosc,4,31,31,82,88
Iopt,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,40,40,2.91,0.41,0:03.36,99,469.04,3370,55486042,242177,mafisc,4,31,31,82,88
Iopt,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,40,40,0.02,0.04,0:00.07,91,113.09,90,55486042,1612473,lz4,4,31,31,82,88
PAR_mean,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,19.665054,0.01,0.07,0:00.09,94,114.73,104,55486041,55487804,NONE,4,31,31,82,88
PAR_mean,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,19.665054,0.19,0.05,0:00.26,94,117.28,272,55486041,18874322,blosc,4,31,31,82,88
PAR_mean,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,19.665054,8.67,0.49,0:09.18,99,1176.07,9202,55486041,15064921,mafisc,4,31,31,82,88
PAR_mean,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0,19.665054,0.06,0.05,0:00.12,89,110.92,138,55486041,16127287,lz4,4,31,31,82,88
alk,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2269.004167,2494.331019,0,0.08,0:00.09,94,113.66,105,55486036,55487804,NONE,4,31,31,82,88
alk,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2269.004167,2494.331019,0.21,0.05,0:00.27,95,115.8,289,55486036,19562182,blosc,4,31,31,82,88
alk,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2269.004167,2494.331019,8.81,0.52,0:09.36,99,1156.93,9371,55486036,14872121,mafisc,4,31,31,82,88
alk,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2269.004167,2494.331019,0.07,0.05,0:00.13,93,114.69,142,55486036,18883242,lz4,4,31,31,82,88
area,DOUBLE,64,57728,7216,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,362855648.654902,554939211.831436,0,0,0:00.01,70,117.19,27,66038,67884,NONE,2,82,88,,
area,DOUBLE,64,57728,7216,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,362855648.654902,554939211.831436,0,0.01,0:00.03,62,115.1,43,66038,21592,blosc,2,82,88,,
area,DOUBLE,64,57728,7216,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,362855648.654902,554939211.831436,0.01,0,0:00.02,75,115.97,39,66038,13667,mafisc,2,82,88,,
area,DOUBLE,64,57728,7216,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,362855648.654902,554939211.831436,0,0,0:00.02,58,115.55,36,66038,13102,lz4,2,82,88,,
bac,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,5.3E-05,20.785901,0.02,0.07,0:00.10,96,123.41,109,55486038,55487804,NONE,4,31,31,82,88
bac,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,5.3E-05,20.785901,0.21,0.05,0:00.27,95,117.66,286,55486038,21714518,blosc,4,31,31,82,88
bac,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,5.3E-05,20.785901,9.85,0.49,0:10.36,99,1293.19,10380,55486038,17351491,mafisc,4,31,31,82,88
bac,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,5.3E-05,20.785901,0.06,0.05,0:00.12,93,119.85,135,55486038,19451636,lz4,4,31,31,82,88
ban,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,1.3E-05,5.196475,0.01,0.07,0:00.09,94,137.62,107,55486038,55487804,NONE,4,31,31,82,88
